Test Case,Algorithm,Execution Time,std
r 10000 0.1118,Q,0,0.1118
r 10000 0.1118,R,0,0.1118
r 10000 0.1119,H,1,0.1119
r 10000 0.1119,M,0,0.1119
r 10000 0.1119,Q,0,0.1119
r 10000 0.1119,R,0,0.1119
r 10000 0.1120,H,0,0.1120
r 10000 0.1120,M,1,0.1120
r 10000 0.1120,Q,0,0.1120
r 10000 0.1120,R,0,0.1120
r 10000 0.1121,H,0,0.1121
r 10000 0.1121,M,0,0.1121
r 10000 0.1121,Q,1,0.1121
r 10000 0.1121,R,0,0.1121
r 10000 0.1122,H,0,0.1122
r 10000 0.1122,M,0,0.1122
r 10000 0.1122,Q,0,0.1122
r 10000 0.1122,R,0,0.1122
r 10000 0.1123,H,0,0.1123
r 10000 0.1123,M,0,0.1123
r 10000 0.1123,Q,0,0.1123
r 10000 0.1123,R,0,0.1123
r 10000 0.1124,H,0,0.1124
r 10000 0.1124,M,0,0.1124
r 10000 0.1124,Q,0,0.1124
r 10000 0.1124,R,0,0.1124
r 10000 0.1125,H,0,0.1125
r 10000 0.1125,M,0,0.1125
r 10000 0.1125,Q,0,0.1125
r 10000 0.1125,R,0,0.1125
r 10000 0.1126,H,0,0.1126
r 10000 0.1126,M,0,0.1126
r 10000 0.1126,Q,0,0.1126
r 10000 0.1126,R,0,0.1126
r 10000 0.1127,H,0,0.1127
r 10000 0.1127,M,0,0.1127
r 10000 0.1127,Q,0,0.1127
r 10000 0.1127,R,0,0.1127
r 10000 0.1128,H,0,0.1128
r 10000 0.1128,M,1,0.1128
r 10000 0.1128,Q,0,0.1128
r 10000 0.1128,R,0,0.1128
r 10000 0.1129,H,0,0.1129
r 10000 0.1129,M,0,0.1129
r 10000 0.1129,Q,0,0.1129
r 10000 0.1129,R,0,0.1129
r 10000 0.1130,H,0,0.1130
r 10000 0.1130,M,0,0.1130
r 10000 0.1130,Q,0,0.1130
r 10000 0.1130,R,0,0.1130
r 10000 0.1131,H,0,0.1131
r 10000 0.1131,M,0,0.1131
r 10000 0.1131,Q,0,0.1131
r 10000 0.1131,R,0,0.1131
r 10000 0.1132,H,0,0.1132
r 10000 0.1132,M,0,0.1132
r 10000 0.1132,Q,0,0.1132
r 10000 0.1132,R,0,0.1132
r 10000 0.1133,H,0,0.1133
r 10000 0.1133,M,0,0.1133
r 10000 0.1133,Q,0,0.1133
r 10000 0.1133,R,0,0.1133
r 10000 0.1134,H,0,0.1134
r 10000 0.1134,M,0,0.1134
r 10000 0.1134,Q,0,0.1134
r 10000 0.1134,R,0,0.1134
r 10000 0.1135,H,0,0.1135
r 10000 0.1135,M,0,0.1135
r 10000 0.1135,Q,0,0.1135
r 10000 0.1135,R,0,0.1135
r 10000 0.1136,H,0,0.1136
r 10000 0.1136,M,0,0.1136
r 10000 0.1136,Q,0,0.1136
r 10000 0.1136,R,0,0.1136
r 10000 0.1137,H,0,0.1137
r 10000 0.1137,M,1,0.1137
r 10000 0.1137,Q,0,0.1137
r 10000 0.1137,R,0,0.1137
r 10000 0.1138,H,0,0.1138
r 10000 0.1138,M,0,0.1138
r 10000 0.1138,Q,0,0.1138
r 10000 0.1138,R,0,0.1138
