Algorithm,swapRate,SortedRatio,ExecutionTime
Q,0.000084,0.999834,246
R,0.000084,0.999834,20
I,0.000085,0.999832,82
H,0.000085,0.999832,48
M,0.000085,0.999832,24
Q,0.000085,0.999832,278
R,0.000085,0.999832,20
I,0.000086,0.999830,99
H,0.000086,0.999830,48
M,0.000086,0.999830,25
Q,0.000086,0.999830,268
R,0.000086,0.999830,21
I,0.000087,0.999828,89
H,0.000087,0.999828,48
M,0.000087,0.999828,25
Q,0.000087,0.999828,284
R,0.000087,0.999828,20
I,0.000088,0.999827,94
H,0.000088,0.999827,49
M,0.000088,0.999827,25
Q,0.000088,0.999827,265
R,0.000088,0.999827,21
I,0.000089,0.999825,83
H,0.000089,0.999825,48
M,0.000089,0.999825,25
Q,0.000089,0.999825,227
R,0.000089,0.999825,21
I,0.000090,0.999822,106
H,0.000090,0.999822,48
M,0.000090,0.999822,24
Q,0.000090,0.999822,232
R,0.000090,0.999822,20
I,0.000091,0.999820,104
H,0.000091,0.999820,50
M,0.000091,0.999820,25
Q,0.000091,0.999820,219
R,0.000091,0.999820,20
I,0.000092,0.999818,91
H,0.000092,0.999818,49
M,0.000092,0.999818,24
Q,0.000092,0.999818,270
R,0.000092,0.999818,21
I,0.000093,0.999816,109
H,0.000093,0.999816,49
M,0.000093,0.999816,25
Q,0.000093,0.999816,221
R,0.000093,0.999816,20
I,0.000094,0.999814,100
H,0.000094,0.999814,49
M,0.000094,0.999814,25
Q,0.000094,0.999814,333
R,0.000094,0.999814,20
I,0.000095,0.999812,105
H,0.000095,0.999812,48
M,0.000095,0.999812,24
Q,0.000095,0.999812,203
R,0.000095,0.999812,21
I,0.000096,0.999810,96
H,0.000096,0.999810,48
M,0.000096,0.999810,25
Q,0.000096,0.999810,195
R,0.000096,0.999810,20
I,0.000097,0.999809,97
H,0.000097,0.999809,48
M,0.000097,0.999809,25
Q,0.000097,0.999809,203
R,0.000097,0.999809,20
I,0.000098,0.999806,100
H,0.000098,0.999806,48
M,0.000098,0.999806,25
Q,0.000098,0.999806,214
R,0.000098,0.999806,21
I,0.000099,0.999804,101
H,0.000099,0.999804,48
M,0.000099,0.999804,25
Q,0.000099,0.999804,210
R,0.000099,0.999804,21
I,0.000100,0.999802,90
H,0.000100,0.999802,48
M,0.000100,0.999802,25
Q,0.000100,0.999802,229
R,0.000100,0.999802,20
I,0.000101,0.999800,121
H,0.000101,0.999800,48
M,0.000101,0.999800,25
Q,0.000101,0.999800,454
R,0.000101,0.999800,22
I,0.000102,0.999798,120
H,0.000102,0.999798,47
M,0.000102,0.999798,25
Q,0.000102,0.999798,214
R,0.000102,0.999798,21
I,0.000103,0.999796,120
H,0.000103,0.999796,49
M,0.000103,0.999796,25
Q,0.000103,0.999796,224
R,0.000103,0.999796,21
I,0.000104,0.999794,96
H,0.000104,0.999794,47
M,0.000104,0.999794,25
Q,0.000104,0.999794,220
R,0.000104,0.999794,21
I,0.000105,0.999792,96
H,0.000105,0.999792,48
M,0.000105,0.999792,25
Q,0.000105,0.999792,218
R,0.000105,0.999792,20
I,0.000106,0.999790,107
H,0.000106,0.999790,49
M,0.000106,0.999790,25
Q,0.000106,0.999790,313
R,0.000106,0.999790,20
I,0.000107,0.999788,106
H,0.000107,0.999788,48
M,0.000107,0.999788,25
Q,0.000107,0.999788,249
R,0.000107,0.999788,22
I,0.000108,0.999786,95
H,0.000108,0.999786,48
M,0.000108,0.999786,26
Q,0.000108,0.999786,237
R,0.000108,0.999786,21
I,0.000109,0.999785,118
H,0.000109,0.999785,49
M,0.000109,0.999785,26
Q,0.000109,0.999785,216
R,0.000109,0.999785,21
I,0.000110,0.999782,119
H,0.000110,0.999782,48
M,0.000110,0.999782,25
Q,0.000110,0.999782,233
R,0.000110,0.999782,21
I,0.000111,0.999780,110
H,0.000111,0.999780,48
M,0.000111,0.999780,26
Q,0.000111,0.999780,232
R,0.000111,0.999780,20
I,0.000112,0.999778,127
H,0.000112,0.999778,49
M,0.000112,0.999778,26
Q,0.000112,0.999778,186
R,0.000112,0.999778,20
I,0.000113,0.999776,120
H,0.000113,0.999776,47
M,0.000113,0.999776,24
Q,0.000113,0.999776,195
R,0.000113,0.999776,21
I,0.000114,0.999774,124
H,0.000114,0.999774,48
M,0.000114,0.999774,25
Q,0.000114,0.999774,206
R,0.000114,0.999774,20
I,0.000115,0.999772,130
H,0.000115,0.999772,48
M,0.000115,0.999772,26
Q,0.000115,0.999772,222
R,0.000115,0.999772,20
I,0.000116,0.999770,120
H,0.000116,0.999770,48
M,0.000116,0.999770,25
Q,0.000116,0.999770,211
R,0.000116,0.999770,21
I,0.000117,0.999768,131
H,0.000117,0.999768,48
M,0.000117,0.999768,26
Q,0.000117,0.999768,229
R,0.000117,0.999768,21
I,0.000118,0.999766,122
H,0.000118,0.999766,48
M,0.000118,0.999766,26
Q,0.000118,0.999766,333
R,0.000118,0.999766,20
I,0.000119,0.999764,128
H,0.000119,0.999764,48
M,0.000119,0.999764,25
Q,0.000119,0.999764,236
R,0.000119,0.999764,21
I,0.000120,0.999762,124
H,0.000120,0.999762,48
M,0.000120,0.999762,25
Q,0.000120,0.999762,229
R,0.000120,0.999762,21
I,0.000121,0.999760,133
H,0.000121,0.999760,49
M,0.000121,0.999760,26
Q,0.000121,0.999760,233
R,0.000121,0.999760,20
I,0.000122,0.999758,126
H,0.000122,0.999758,48
M,0.000122,0.999758,25
