Algorithm,swapRate,ReverseSortedRatio,ExecutionTime
M,0.000115,0.999772,20
Q,0.000115,0.999772,212
R,0.000115,0.999772,36
H,0.000116,0.999770,62
M,0.000116,0.999770,24
Q,0.000116,0.999770,186
R,0.000116,0.999770,30
H,0.000117,0.999768,60
M,0.000117,0.999768,31
Q,0.000117,0.999768,236
R,0.000117,0.999768,27
H,0.000118,0.999766,59
M,0.000118,0.999766,23
Q,0.000118,0.999766,157
R,0.000118,0.999766,38
H,0.000119,0.999765,70
M,0.000119,0.999765,22
Q,0.000119,0.999765,281
R,0.000119,0.999765,26
H,0.000120,0.999763,71
M,0.000120,0.999763,28
Q,0.000120,0.999763,116
R,0.000120,0.999763,31
H,0.000121,0.999760,58
M,0.000121,0.999760,31
Q,0.000121,0.999760,310
R,0.000121,0.999760,45
H,0.000122,0.999758,63
M,0.000122,0.999758,30
Q,0.000122,0.999758,138
R,0.000122,0.999758,34
H,0.000123,0.999756,57
M,0.000123,0.999756,32
Q,0.000123,0.999756,92
R,0.000123,0.999756,41
H,0.000124,0.999754,63
M,0.000124,0.999754,25
Q,0.000124,0.999754,361
R,0.000124,0.999754,25
H,0.000125,0.999753,56
M,0.000125,0.999753,21
Q,0.000125,0.999753,205
R,0.000125,0.999753,39
H,0.000126,0.999750,66
M,0.000126,0.999750,24
Q,0.000126,0.999750,310
R,0.000126,0.999750,26
H,0.000127,0.999748,61
M,0.000127,0.999748,29
Q,0.000127,0.999748,326
R,0.000127,0.999748,26
H,0.000128,0.999746,57
M,0.000128,0.999746,21
Q,0.000128,0.999746,308
R,0.000128,0.999746,30
H,0.000129,0.999744,65
M,0.000129,0.999744,21
Q,0.000129,0.999744,201
R,0.000129,0.999744,26
H,0.000130,0.999742,55
M,0.000130,0.999742,24
Q,0.000130,0.999742,244
R,0.000130,0.999742,45
H,0.000131,0.999740,66
M,0.000131,0.999740,26
Q,0.000131,0.999740,325
R,0.000131,0.999740,28
H,0.000132,0.999738,75
M,0.000132,0.999738,28
Q,0.000132,0.999738,173
R,0.000132,0.999738,27
H,0.000133,0.999736,64
M,0.000133,0.999736,23
Q,0.000133,0.999736,237
R,0.000133,0.999736,34
H,0.000134,0.999734,62
M,0.000134,0.999734,24
Q,0.000134,0.999734,173
R,0.000134,0.999734,27
H,0.000135,0.999732,57
M,0.000135,0.999732,21
Q,0.000135,0.999732,297
R,0.000135,0.999732,33
H,0.000136,0.999730,61
M,0.000136,0.999730,30
Q,0.000136,0.999730,271
R,0.000136,0.999730,34
H,0.000137,0.999728,70
M,0.000137,0.999728,41
Q,0.000137,0.999728,237
R,0.000137,0.999728,27
H,0.000138,0.999726,55
M,0.000138,0.999726,27
Q,0.000138,0.999726,254
R,0.000138,0.999726,27
H,0.000139,0.999725,72
M,0.000139,0.999725,28
Q,0.000139,0.999725,224
R,0.000139,0.999725,30
H,0.000140,0.999722,59
M,0.000140,0.999722,26
Q,0.000140,0.999722,273
R,0.000140,0.999722,38
H,0.000141,0.999720,59
M,0.000141,0.999720,29
Q,0.000141,0.999720,230
R,0.000141,0.999720,29
H,0.000142,0.999718,60
M,0.000142,0.999718,34
Q,0.000142,0.999718,128
R,0.000142,0.999718,26
H,0.000143,0.999716,65
M,0.000143,0.999716,31
Q,0.000143,0.999716,309
R,0.000143,0.999716,31
H,0.000144,0.999715,66
M,0.000144,0.999715,24
Q,0.000144,0.999715,229
R,0.000144,0.999715,32
H,0.000145,0.999712,56
M,0.000145,0.999712,22
Q,0.000145,0.999712,298
R,0.000145,0.999712,41
H,0.000146,0.999710,58
M,0.000146,0.999710,21
Q,0.000146,0.999710,258
R,0.000146,0.999710,31
H,0.000147,0.999708,60
M,0.000147,0.999708,35
Q,0.000147,0.999708,313
R,0.000147,0.999708,37
H,0.000148,0.999707,63
M,0.000148,0.999707,22
Q,0.000148,0.999707,167
R,0.000148,0.999707,40
H,0.000149,0.999704,70
M,0.000149,0.999704,31
Q,0.000149,0.999704,243
R,0.000149,0.999704,28
H,0.000150,0.999703,61
M,0.000150,0.999703,27
Q,0.000150,0.999703,214
R,0.000150,0.999703,33
H,0.000151,0.999700,66
M,0.000151,0.999700,32
Q,0.000151,0.999700,166
R,0.000151,0.999700,29
H,0.000152,0.999698,56
M,0.000152,0.999698,32
Q,0.000152,0.999698,261
R,0.000152,0.999698,28
H,0.000153,0.999696,69
M,0.000153,0.999696,21
Q,0.000153,0.999696,141
R,0.000153,0.999696,30
H,0.000154,0.999694,65
M,0.000154,0.999694,27
Q,0.000154,0.999694,266
R,0.000154,0.999694,42
H,0.000155,0.999692,65
