Algorithm,swapRate,ReverseSortedRatio,ExecutionTime
Q,0.00159,0.996831,118
R,0.00159,0.996831,27
H,0.00160,0.996809,53
M,0.00160,0.996809,35
Q,0.00160,0.996809,72
R,0.00160,0.996809,36
H,0.00161,0.996796,67
M,0.00161,0.996796,29
Q,0.00161,0.996796,155
R,0.00161,0.996796,33
H,0.00162,0.996768,59
M,0.00162,0.996768,33
Q,0.00162,0.996768,91
R,0.00162,0.996768,35
H,0.00163,0.996755,57
M,0.00163,0.996755,41
Q,0.00163,0.996755,97
R,0.00163,0.996755,29
H,0.00164,0.996739,57
M,0.00164,0.996739,33
Q,0.00164,0.996739,127
R,0.00164,0.996739,31
H,0.00165,0.996711,57
M,0.00165,0.996711,24
Q,0.00165,0.996711,79
R,0.00165,0.996711,40
H,0.00166,0.996690,59
M,0.00166,0.996690,29
Q,0.00166,0.996690,122
R,0.00166,0.996690,27
H,0.00167,0.996668,57
M,0.00167,0.996668,30
Q,0.00167,0.996668,106
R,0.00167,0.996668,30
H,0.00168,0.996648,60
M,0.00168,0.996648,24
Q,0.00168,0.996648,67
R,0.00168,0.996648,29
H,0.00169,0.996627,65
M,0.00169,0.996627,24
Q,0.00169,0.996627,102
R,0.00169,0.996627,33
H,0.00170,0.996611,59
M,0.00170,0.996611,27
Q,0.00170,0.996611,99
R,0.00170,0.996611,43
H,0.00171,0.996593,66
M,0.00171,0.996593,24
Q,0.00171,0.996593,125
R,0.00171,0.996593,29
H,0.00172,0.996571,51
M,0.00172,0.996571,36
Q,0.00172,0.996571,78
R,0.00172,0.996571,35
H,0.00173,0.996550,65
M,0.00173,0.996550,24
Q,0.00173,0.996550,134
R,0.00173,0.996550,26
H,0.00174,0.996535,60
M,0.00174,0.996535,31
Q,0.00174,0.996535,81
R,0.00174,0.996535,30
H,0.00175,0.996514,63
M,0.00175,0.996514,24
Q,0.00175,0.996514,81
R,0.00175,0.996514,50
H,0.00176,0.996494,59
M,0.00176,0.996494,25
Q,0.00176,0.996494,58
R,0.00176,0.996494,29
H,0.00177,0.996473,60
M,0.00177,0.996473,31
Q,0.00177,0.996473,85
R,0.00177,0.996473,27
H,0.00178,0.996449,51
M,0.00178,0.996449,28
Q,0.00178,0.996449,103
R,0.00178,0.996449,41
H,0.00179,0.996431,59
M,0.00179,0.996431,29
Q,0.00179,0.996431,55
R,0.00179,0.996431,33
H,0.00180,0.996417,56
M,0.00180,0.996417,26
Q,0.00180,0.996417,109
R,0.00180,0.996417,39
H,0.00181,0.996390,70
M,0.00181,0.996390,24
Q,0.00181,0.996390,65
R,0.00181,0.996390,29
H,0.00182,0.996373,63
M,0.00182,0.996373,32
Q,0.00182,0.996373,64
R,0.00182,0.996373,31
H,0.00183,0.996352,58
M,0.00183,0.996352,28
Q,0.00183,0.996352,60
R,0.00183,0.996352,37
H,0.00184,0.996334,63
M,0.00184,0.996334,33
Q,0.00184,0.996334,105
R,0.00184,0.996334,35
H,0.00185,0.996310,56
M,0.00185,0.996310,27
Q,0.00185,0.996310,59
R,0.00185,0.996310,49
H,0.00186,0.996290,63
M,0.00186,0.996290,30
Q,0.00186,0.996290,100
R,0.00186,0.996290,32
H,0.00187,0.996271,61
M,0.00187,0.996271,31
Q,0.00187,0.996271,100
R,0.00187,0.996271,32
H,0.00188,0.996252,66
M,0.00188,0.996252,27
Q,0.00188,0.996252,90
R,0.00188,0.996252,26
H,0.00189,0.996232,59
M,0.00189,0.996232,24
Q,0.00189,0.996232,96
R,0.00189,0.996232,31
H,0.00190,0.996214,56
M,0.00190,0.996214,28
Q,0.00190,0.996214,67
R,0.00190,0.996214,33
H,0.00191,0.996194,57
M,0.00191,0.996194,24
Q,0.00191,0.996194,105
R,0.00191,0.996194,35
H,0.00192,0.996183,52
M,0.00192,0.996183,32
Q,0.00192,0.996183,80
R,0.00192,0.996183,42
H,0.00193,0.996154,56
M,0.00193,0.996154,27
Q,0.00193,0.996154,73
R,0.00193,0.996154,32
H,0.00194,0.996134,66
M,0.00194,0.996134,25
Q,0.00194,0.996134,85
R,0.00194,0.996134,27
H,0.00195,0.996119,50
M,0.00195,0.996119,29
Q,0.00195,0.996119,64
R,0.00195,0.996119,45
H,0.00196,0.996094,57
M,0.00196,0.996094,29
Q,0.00196,0.996094,92
R,0.00196,0.996094,39
H,0.00197,0.996077,59
M,0.00197,0.996077,30
Q,0.00197,0.996077,104
R,0.00197,0.996077,27
H,0.00198,0.996058,60
M,0.00198,0.996058,24
Q,0.00198,0.996058,79
R,0.00198,0.996058,30
H,0.00199,0.996036,61
M,0.00199,0.996036,36
Q,0.00199,0.996036,63
R,0.00199,0.996036,31
H,0.00200,0.996016,64
M,0.00200,0.996016,24
Q,0.00200,0.996016,106
R,0.00200,0.996016,43
H,0.00201,0.995996,58
M,0.00201,0.995996,31
Q,0.00201,0.995996,78
R,0.00201,0.995996,27
H,0.00202,0.995974,64
M,0.00202,0.995974,29
Q,0.00202,0.995974,88
R,0.00202,0.995974,29
H,0.00203,0.995953,57
M,0.00203,0.995953,24
Q,0.00203,0.995953,76
R,0.00203,0.995953,28
H,0.00204,0.995940,67
M,0.00204,0.995940,25
Q,0.00204,0.995940,93
R,0.00204,0.995940,33
H,0.00205,0.995912,53
M,0.00205,0.995912,27
Q,0.00205,0.995912,90
R,0.00205,0.995912,36
H,0.00206,0.995900,70
M,0.00206,0.995900,30
Q,0.00206,0.995900,65
R,0.00206,0.995900,30
H,0.00207,0.995876,55
M,0.00207,0.995876,35
Q,0.00207,0.995876,93
R,0.00207,0.995876,28
H,0.00208,0.995861,59
M,0.00208,0.995861,25
Q,0.00208,0.995861,73
R,0.00208,0.995861,29
H,0.00209,0.995832,66
M,0.00209,0.995832,32
Q,0.00209,0.995832,91
R,0.00209,0.995832,35
H,0.00210,0.995809,52
M,0.00210,0.995809,24
Q,0.00210,0.995809,121
R,0.00210,0.995809,43
H,0.00211,0.995801,59
M,0.00211,0.995801,24
Q,0.00211,0.995801,70
R,0.00211,0.995801,38
H,0.00212,0.995777,56
M,0.00212,0.995777,35
Q,0.00212,0.995777,114
R,0.00212,0.995777,32
H,0.00213,0.995760,57
M,0.00213,0.995760,30
Q,0.00213,0.995760,53
R,0.00213,0.995760,35
H,0.00214,0.995740,70
M,0.00214,0.995740,25
Q,0.00214,0.995740,92
R,0.00214,0.995740,33
H,0.00215,0.995714,53
M,0.00215,0.995714,30
Q,0.00215,0.995714,161
R,0.00215,0.995714,38
H,0.00216,0.995702,68
M,0.00216,0.995702,25
Q,0.00216,0.995702,93
R,0.00216,0.995702,30
H,0.00217,0.995682,60
M,0.00217,0.995682,36
Q,0.00217,0.995682,63
R,0.00217,0.995682,32
H,0.00218,0.995654,62
M,0.00218,0.995654,24
Q,0.00218,0.995654,94
R,0.00218,0.995654,27
H,0.00219,0.995645,66
M,0.00219,0.995645,35
Q,0.00219,0.995645,91
R,0.00219,0.995645,29
H,0.00220,0.995615,69
M,0.00220,0.995615,32
Q,0.00220,0.995615,73
R,0.00220,0.995615,36
H,0.00221,0.995591,64
M,0.00221,0.995591,30
Q,0.00221,0.995591,84
R,0.00221,0.995591,30
H,0.00222,0.995580,63
M,0.00222,0.995580,31
Q,0.00222,0.995580,72
R,0.00222,0.995580,27
H,0.00223,0.995574,58
M,0.00223,0.995574,28
Q,0.00223,0.995574,95
R,0.00223,0.995574,28
H,0.00224,0.995538,58
M,0.00224,0.995538,30
Q,0.00224,0.995538,97
R,0.00224,0.995538,37
H,0.00225,0.995525,59
M,0.00225,0.995525,28
Q,0.00225,0.995525,64
R,0.00225,0.995525,33
H,0.00226,0.995505,54
M,0.00226,0.995505,29
Q,0.00226,0.995505,108
R,0.00226,0.995505,26
H,0.00227,0.995481,55
M,0.00227,0.995481,37
Q,0.00227,0.995481,61
R,0.00227,0.995481,29
H,0.00228,0.995455,72
M,0.00228,0.995455,35
Q,0.00228,0.995455,94
R,0.00228,0.995455,27
H,0.00229,0.995445,60
M,0.00229,0.995445,26
Q,0.00229,0.995445,104
R,0.00229,0.995445,33
H,0.00230,0.995426,65
M,0.00230,0.995426,29
Q,0.00230,0.995426,96
R,0.00230,0.995426,33
H,0.00231,0.995410,55
M,0.00231,0.995410,32
Q,0.00231,0.995410,73
R,0.00231,0.995410,33
H,0.00232,0.995380,59
M,0.00232,0.995380,29
Q,0.00232,0.995380,65
R,0.00232,0.995380,26
H,0.00233,0.995362,55
M,0.00233,0.995362,29
Q,0.00233,0.995362,72
R,0.00233,0.995362,39
H,0.00234,0.995344,56
M,0.00234,0.995344,31
Q,0.00234,0.995344,100
R,0.00234,0.995344,39
H,0.00235,0.995316,62
M,0.00235,0.995316,31
Q,0.00235,0.995316,97
R,0.00235,0.995316,47
H,0.00236,0.995308,59
M,0.00236,0.995308,26
Q,0.00236,0.995308,72
R,0.00236,0.995308,40
H,0.00237,0.995282,52
M,0.00237,0.995282,35
Q,0.00237,0.995282,102
R,0.00237,0.995282,31
H,0.00238,0.995260,52
M,0.00238,0.995260,24
Q,0.00238,0.995260,96
R,0.00238,0.995260,28
H,0.00239,0.995244,57
M,0.00239,0.995244,25
Q,0.00239,0.995244,110
R,0.00239,0.995244,26
H,0.00240,0.995224,58
M,0.00240,0.995224,30
Q,0.00240,0.995224,96
R,0.00240,0.995224,42
H,0.00241,0.995201,57
M,0.00241,0.995201,25
Q,0.00241,0.995201,75
R,0.00241,0.995201,29
H,0.00242,0.995190,58
M,0.00242,0.995190,33
Q,0.00242,0.995190,83
R,0.00242,0.995190,36
H,0.00243,0.995166,70
M,0.00243,0.995166,37
